id,target,creator,description,lat,lon,c1_type,c1_match,c1_value
https://geoconnex.us/cuahsi/his/FRC_WQM/SL,http://selfie.cuahsi.org/FRC_WQM/SL,acastronova@cuahsi.org,State Line  Webster,42.04111111,71.88388889,QueryString,f?=.*,http://selfie.cuahsi.org/FRC_WQM/SL?f=${C:f:1}
https://geoconnex.us/cuahsi/his/FRC_WQM/PPO,http://selfie.cuahsi.org/FRC_WQM/PPO,acastronova@cuahsi.org,Packard Pond Outflow  Dudley,42.01694444,-71.89055556,QueryString,f?=.*,http://selfie.cuahsi.org/FRC_WQM/PPO?f=${C:f:1}
https://geoconnex.us/cuahsi/his/FRC_WQM/PB,http://selfie.cuahsi.org/FRC_WQM/PB,acastronova@cuahsi.org,Potash Brook  Dudley,42.03722222,-71.8925,QueryString,f?=.*,http://selfie.cuahsi.org/FRC_WQM/PB?f=${C:f:1}
https://geoconnex.us/cuahsi/his/FRC_WQM/BR,http://selfie.cuahsi.org/FRC_WQM/BR,acastronova@cuahsi.org,Brandon Road  Dudley,42.04166667,-71.8875,QueryString,f?=.*,http://selfie.cuahsi.org/FRC_WQM/BR?f=${C:f:1}
https://geoconnex.us/cuahsi/his/FRC_WQM/LPO,http://selfie.cuahsi.org/FRC_WQM/LPO,acastronova@cuahsi.org,Low Pond Outflow  Dudley,42.05,-71.88777778,QueryString,f?=.*,http://selfie.cuahsi.org/FRC_WQM/LPO?f=${C:f:1}
https://geoconnex.us/cuahsi/his/FRC_WQM/CPLSD,http://selfie.cuahsi.org/FRC_WQM/CPLSD,acastronova@cuahsi.org,Commerce Parking Lot Storm Drain  Webster,42.05027778,-71.88361111,QueryString,f?=.*,http://selfie.cuahsi.org/FRC_WQM/CPLSD?f=${C:f:1}
https://geoconnex.us/cuahsi/his/FRC_WQM/MBBR,http://selfie.cuahsi.org/FRC_WQM/MBBR,acastronova@cuahsi.org,Mill Brook at Bigelow Road  Webster,42.06694444,-71.87555556,QueryString,f?=.*,http://selfie.cuahsi.org/FRC_WQM/MBBR?f=${C:f:1}
https://geoconnex.us/cuahsi/his/FRC_WQM/MBWN,http://selfie.cuahsi.org/FRC_WQM/MBWN,acastronova@cuahsi.org,Mill Brook at Webster Nursery  Webster,42.0625,-71.86388889,QueryString,f?=.*,http://selfie.cuahsi.org/FRC_WQM/MBWN?f=${C:f:1}
https://geoconnex.us/cuahsi/his/FRC_WQM/ND,http://selfie.cuahsi.org/FRC_WQM/ND,acastronova@cuahsi.org,Nancy Drive  Webster,42.07805556,-71.87444444,QueryString,f?=.*,http://selfie.cuahsi.org/FRC_WQM/ND?f=${C:f:1}
https://geoconnex.us/cuahsi/his/FRC_WQM/OMB,http://selfie.cuahsi.org/FRC_WQM/OMB,acastronova@cuahsi.org,Old Mill Brook  Oxford,42.08861111,-71.87083333,QueryString,f?=.*,http://selfie.cuahsi.org/FRC_WQM/OMB?f=${C:f:1}
https://geoconnex.us/cuahsi/his/FRC_WQM/LB,http://selfie.cuahsi.org/FRC_WQM/LB,acastronova@cuahsi.org,Lowe's Brook  Oxford,42.10416667,-71.86638889,QueryString,f?=.*,http://selfie.cuahsi.org/FRC_WQM/LB?f=${C:f:1}
https://geoconnex.us/cuahsi/his/FRC_WQM/CBR,http://selfie.cuahsi.org/FRC_WQM/CBR,acastronova@cuahsi.org,Clara Barton Road  Oxford,42.15388889,-71.8825,QueryString,f?=.*,http://selfie.cuahsi.org/FRC_WQM/CBR?f=${C:f:1}
https://geoconnex.us/cuahsi/his/FRC_WQM/LR,http://selfie.cuahsi.org/FRC_WQM/LR,acastronova@cuahsi.org,Little River  Oxford,42.10944444,-71.88333333,QueryString,f?=.*,http://selfie.cuahsi.org/FRC_WQM/LR?f=${C:f:1}
