id,target,creator,description,lat,lon,c1_type,c1_match,c1_value
https://geoconnex.us/cuahsi/his/FarmRWA/BB-B1,http://selfie.cuahsi.org/FarmRWA/BB-B1,acastronova@cuahsi.org,Bunnell Brook ds Rte 179 Bridge,41.782961,-72.92244,QueryString,f?=.*,http://selfie.cuahsi.org/FarmRWA/BB-B1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/FarmRWA/CB-C1,http://selfie.cuahsi.org/FarmRWA/CB-C1,acastronova@cuahsi.org,Cherry Brook at Rte 44 Bridge,41.836164,-72.929891,QueryString,f?=.*,http://selfie.cuahsi.org/FarmRWA/CB-C1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/FarmRWA/FR-EG1,http://selfie.cuahsi.org/FarmRWA/FR-EG1,acastronova@cuahsi.org,Farmington River us Rte. 187 Spoonville Bridge,41.897526,-72.749642,QueryString,f?=.*,http://selfie.cuahsi.org/FarmRWA/FR-EG1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/FarmRWA/FR-F1,http://selfie.cuahsi.org/FarmRWA/FR-F1,acastronova@cuahsi.org,Farmington River at Town Gardens  Meadow Road,41.720945,-72.84631,QueryString,f?=.*,http://selfie.cuahsi.org/FarmRWA/FR-F1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/FarmRWA/FR-F2,http://selfie.cuahsi.org/FarmRWA/FR-F2,acastronova@cuahsi.org,Farmington River ds Grist Mill Dam,41.723348,-72.833701,QueryString,f?=.*,http://selfie.cuahsi.org/FarmRWA/FR-F2?f=${C:f:1}
https://geoconnex.us/cuahsi/his/FarmRWA/FR-F3,http://selfie.cuahsi.org/FarmRWA/FR-F3,acastronova@cuahsi.org,Farmington River us Rte 4 Bridge at boat launch/pier,41.728019,-72.829424,QueryString,f?=.*,http://selfie.cuahsi.org/FarmRWA/FR-F3?f=${C:f:1}
https://geoconnex.us/cuahsi/his/FarmRWA/FR-S1,http://selfie.cuahsi.org/FarmRWA/FR-S1,acastronova@cuahsi.org,Farmington River ds Rte 185 Bridge/Pinchot Sycamore,41.847538,-72.807207,QueryString,f?=.*,http://selfie.cuahsi.org/FarmRWA/FR-S1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/FarmRWA/FR-S2,http://selfie.cuahsi.org/FarmRWA/FR-S2,acastronova@cuahsi.org,Farmington River us Paine Boathouse crew dock ,41.869611,-72.796802,QueryString,f?=.*,http://selfie.cuahsi.org/FarmRWA/FR-S2?f=${C:f:1}
https://geoconnex.us/cuahsi/his/FarmRWA/FR-S3,http://selfie.cuahsi.org/FarmRWA/FR-S3,acastronova@cuahsi.org,Farmington River at Riverside Dr boat launch,41.869387,-72.792385,QueryString,f?=.*,http://selfie.cuahsi.org/FarmRWA/FR-S3?f=${C:f:1}
https://geoconnex.us/cuahsi/his/FarmRWA/FR-W1,http://selfie.cuahsi.org/FarmRWA/FR-W1,acastronova@cuahsi.org,Farmington River at River Street Park,41.901138,-72.670303,QueryString,f?=.*,http://selfie.cuahsi.org/FarmRWA/FR-W1?f=${C:f:1}
