id,target,creator,description,lat,lon,c1_type,c1_match,c1_value
https://geoconnex.us/cuahsi/his/HYDRODATACZ-D/1,http://selfie.cuahsi.org/HYDRODATACZ-D/1,acastronova@cuahsi.org,Labská bouda,50.7700005,15.5500002,QueryString,f?=.*,http://selfie.cuahsi.org/HYDRODATACZ-D/1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/HYDRODATACZ-D/2,http://selfie.cuahsi.org/HYDRODATACZ-D/2,acastronova@cuahsi.org,Pec pod Sněžkou,50.6920509,15.7287598,QueryString,f?=.*,http://selfie.cuahsi.org/HYDRODATACZ-D/2?f=${C:f:1}
https://geoconnex.us/cuahsi/his/HYDRODATACZ-D/3,http://selfie.cuahsi.org/HYDRODATACZ-D/3,acastronova@cuahsi.org,Svratouch,49.7350006,16.0335999,QueryString,f?=.*,http://selfie.cuahsi.org/HYDRODATACZ-D/3?f=${C:f:1}
https://geoconnex.us/cuahsi/his/HYDRODATACZ-D/4,http://selfie.cuahsi.org/HYDRODATACZ-D/4,acastronova@cuahsi.org,Deštné v Orlických. horách,50.3033333,16.3527775,QueryString,f?=.*,http://selfie.cuahsi.org/HYDRODATACZ-D/4?f=${C:f:1}
https://geoconnex.us/cuahsi/his/HYDRODATACZ-D/5,http://selfie.cuahsi.org/HYDRODATACZ-D/5,acastronova@cuahsi.org,Rokytnice v Orlických. horách,50.1644325,16.4602585,QueryString,f?=.*,http://selfie.cuahsi.org/HYDRODATACZ-D/5?f=${C:f:1}
https://geoconnex.us/cuahsi/his/HYDRODATACZ-D/6,http://selfie.cuahsi.org/HYDRODATACZ-D/6,acastronova@cuahsi.org,Seč,49.8446999,15.6480999,QueryString,f?=.*,http://selfie.cuahsi.org/HYDRODATACZ-D/6?f=${C:f:1}
https://geoconnex.us/cuahsi/his/HYDRODATACZ-D/7,http://selfie.cuahsi.org/HYDRODATACZ-D/7,acastronova@cuahsi.org,Janov-Gajer,49.8210983,16.4111004,QueryString,f?=.*,http://selfie.cuahsi.org/HYDRODATACZ-D/7?f=${C:f:1}
https://geoconnex.us/cuahsi/his/HYDRODATACZ-D/8,http://selfie.cuahsi.org/HYDRODATACZ-D/8,acastronova@cuahsi.org,Úpice,50.5063896,16.0116673,QueryString,f?=.*,http://selfie.cuahsi.org/HYDRODATACZ-D/8?f=${C:f:1}
https://geoconnex.us/cuahsi/his/HYDRODATACZ-D/9,http://selfie.cuahsi.org/HYDRODATACZ-D/9,acastronova@cuahsi.org,Ústí nad Orlicí,49.9803009,16.4221992,QueryString,f?=.*,http://selfie.cuahsi.org/HYDRODATACZ-D/9?f=${C:f:1}
https://geoconnex.us/cuahsi/his/HYDRODATACZ-D/10,http://selfie.cuahsi.org/HYDRODATACZ-D/10,acastronova@cuahsi.org,Ústí nad Labem - Kočkov,50.6838989,14.0410995,QueryString,f?=.*,http://selfie.cuahsi.org/HYDRODATACZ-D/10?f=${C:f:1}
