id,target,creator,description,lat,lon,c1_type,c1_match,c1_value
https://geoconnex.us/cuahsi/his/Mazar_River_Project/Mazar1,http://selfie.cuahsi.org/Mazar_River_Project/Mazar1,acastronova@cuahsi.org,Mazar River Permanent Monitoring Station,-2.541523238,-78.67115906,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/Mazar1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/La_Libertad,http://selfie.cuahsi.org/Mazar_River_Project/La_Libertad,acastronova@cuahsi.org,La Libertad Meteorological Station,-2.547322586,-78.69890426,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/La_Libertad?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/Rio_Mazar,http://selfie.cuahsi.org/Mazar_River_Project/Rio_Mazar,acastronova@cuahsi.org,Rio Mazar Rainfall Gauge,-2.540507,-78.67116089,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/Rio_Mazar?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/Jennings,http://selfie.cuahsi.org/Mazar_River_Project/Jennings,acastronova@cuahsi.org,West Branch Mahoning River in Jenning's Woods,41.174,-81.2,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/Jennings?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/KOH,http://selfie.cuahsi.org/Mazar_River_Project/KOH,acastronova@cuahsi.org,KOH rain gage in Kent  Ohio,41.156,-81.354,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/KOH?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/391423077150501,http://selfie.cuahsi.org/Mazar_River_Project/391423077150501,acastronova@cuahsi.org,MO Cd 56,39.23990734,-77.25156253,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/391423077150501?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/391426077151701,http://selfie.cuahsi.org/Mazar_River_Project/391426077151701,acastronova@cuahsi.org,MO Cd 57,39.24077892,-77.25482269,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/391426077151701?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/391421077153901,http://selfie.cuahsi.org/Mazar_River_Project/391421077153901,acastronova@cuahsi.org,MO Cd 58,39.23942245,-77.26090935,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/391421077153901?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/391433077154101,http://selfie.cuahsi.org/Mazar_River_Project/391433077154101,acastronova@cuahsi.org,MO Cd 60,39.24256565,-77.26155035,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/391433077154101?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/391425077160301,http://selfie.cuahsi.org/Mazar_River_Project/391425077160301,acastronova@cuahsi.org,MO Cd 62,39.24050679,-77.26767591,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/391425077160301?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/391420077153301,http://selfie.cuahsi.org/Mazar_River_Project/391420077153301,acastronova@cuahsi.org,MO Cd 63,39.23892957,-77.25936959,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/391420077153301?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/391359077152601,http://selfie.cuahsi.org/Mazar_River_Project/391359077152601,acastronova@cuahsi.org,MO Cd 64,39.23312907,-77.25734188,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/391359077152601?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/wq7,http://selfie.cuahsi.org/Mazar_River_Project/wq7,acastronova@cuahsi.org,Sävjaån Lejsta,59.954735,17.900163,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/wq7?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/wq8,http://selfie.cuahsi.org/Mazar_River_Project/wq8,acastronova@cuahsi.org,Sävjaån Ingvasta,60.01157,17.848522,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/wq8?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/wq117,http://selfie.cuahsi.org/Mazar_River_Project/wq117,acastronova@cuahsi.org,Skellefte älv Slagnäs,65.674864,18.146218,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/wq117?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/wq118,http://selfie.cuahsi.org/Mazar_River_Project/wq118,acastronova@cuahsi.org,Indalsälven Hammarstrand,63.113898,16.35538,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/wq118?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/wq119,http://selfie.cuahsi.org/Mazar_River_Project/wq119,acastronova@cuahsi.org,Ö. Dalälven Gråda,60.605642,15.034523,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/wq119?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/wq120,http://selfie.cuahsi.org/Mazar_River_Project/wq120,acastronova@cuahsi.org,V. Dalälven Mockfjärd,60.482712,14.897036,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/wq120?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/wq127,http://selfie.cuahsi.org/Mazar_River_Project/wq127,acastronova@cuahsi.org,Kolbäcksån Strömsholm,59.525675,16.270192,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/wq127?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/wq129,http://selfie.cuahsi.org/Mazar_River_Project/wq129,acastronova@cuahsi.org,Sagån Målhammar,59.600104,16.890664,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/wq129?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/wq131,http://selfie.cuahsi.org/Mazar_River_Project/wq131,acastronova@cuahsi.org,Örsundaån Örsundsbro,59.736638,17.310296,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/wq131?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/wq133,http://selfie.cuahsi.org/Mazar_River_Project/wq133,acastronova@cuahsi.org,Botorpström Brunnsö,57.663568,16.495821,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/wq133?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/wq134,http://selfie.cuahsi.org/Mazar_River_Project/wq134,acastronova@cuahsi.org,Ljungbyån Ljungbyholm,56.631532,16.172673,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/wq134?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/wq135,http://selfie.cuahsi.org/Mazar_River_Project/wq135,acastronova@cuahsi.org,Mörrumsån Mörrum,56.189214,14.750275,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/wq135?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/wq136,http://selfie.cuahsi.org/Mazar_River_Project/wq136,acastronova@cuahsi.org,Ätran Skåpanäs,57.189433,12.968153,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/wq136?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Mazar_River_Project/wq138,http://selfie.cuahsi.org/Mazar_River_Project/wq138,acastronova@cuahsi.org,Dalälven Älvkarleby,60.564211,17.4414,QueryString,f?=.*,http://selfie.cuahsi.org/Mazar_River_Project/wq138?f=${C:f:1}
