id,target,creator,description,lat,lon,c1_type,c1_match,c1_value
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/MI1061,http://selfie.cuahsi.org/MobileCrowdHydrology/MI1061,acastronova@cuahsi.org,Deer Creek,45.13657,-85.055719,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/MI1061?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/CA9000,http://selfie.cuahsi.org/MobileCrowdHydrology/CA9000,acastronova@cuahsi.org,CA9000,35.294263319037121,-120.66360310721643,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/CA9000?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/WI1020,http://selfie.cuahsi.org/MobileCrowdHydrology/WI1020,acastronova@cuahsi.org,Faxon Creek,46.716885,-92.073808,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/WI1020?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/ME9000,http://selfie.cuahsi.org/MobileCrowdHydrology/ME9000,acastronova@cuahsi.org,Test Site,45.29948,-69.336,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/ME9000?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/CA1001,http://selfie.cuahsi.org/MobileCrowdHydrology/CA1001,acastronova@cuahsi.org,Dairy Creek,35.331666666666671,-120.72991666666667,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/CA1001?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/CA1000,http://selfie.cuahsi.org/MobileCrowdHydrology/CA1000,acastronova@cuahsi.org,San Luis Obispo Creek,35.294222222222217,-120.64347222222221,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/CA1000?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/MN1008,http://selfie.cuahsi.org/MobileCrowdHydrology/MN1008,acastronova@cuahsi.org,Knowlton Creek,46.714407,-92.198217,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/MN1008?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/MN1010,http://selfie.cuahsi.org/MobileCrowdHydrology/MN1010,acastronova@cuahsi.org,MN1010,48.489437,-93.323764,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/MN1010?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/MN1007,http://selfie.cuahsi.org/MobileCrowdHydrology/MN1007,acastronova@cuahsi.org,Knowlton Creek,46.719773,-92.207616,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/MN1007?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/MN1006,http://selfie.cuahsi.org/MobileCrowdHydrology/MN1006,acastronova@cuahsi.org,Chester Creek,46.812668,-92.092183,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/MN1006?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/MN1005,http://selfie.cuahsi.org/MobileCrowdHydrology/MN1005,acastronova@cuahsi.org,Tischer Creek at Hartley Pond,46.837831,-92.086395,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/MN1005?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/MN1004,http://selfie.cuahsi.org/MobileCrowdHydrology/MN1004,acastronova@cuahsi.org,Keene Creek,46.735136,-92.175067,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/MN1004?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/MN1003,http://selfie.cuahsi.org/MobileCrowdHydrology/MN1003,acastronova@cuahsi.org,Kingsbury Creek,46.725886,-92.192227,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/MN1003?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/MN1002,http://selfie.cuahsi.org/MobileCrowdHydrology/MN1002,acastronova@cuahsi.org,Miller Creek,46.782263,-92.145369,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/MN1002?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/MN1001,http://selfie.cuahsi.org/MobileCrowdHydrology/MN1001,acastronova@cuahsi.org,Chester Creek,46.816533,-92.102463,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/MN1001?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/MN1000,http://selfie.cuahsi.org/MobileCrowdHydrology/MN1000,acastronova@cuahsi.org,Brewery Creek,46.799938,-92.113645,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/MN1000?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/MI1060,http://selfie.cuahsi.org/MobileCrowdHydrology/MI1060,acastronova@cuahsi.org,South Branch of the Pine River,44.563814,-83.601634,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/MI1060?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/MI1059,http://selfie.cuahsi.org/MobileCrowdHydrology/MI1059,acastronova@cuahsi.org,West Branch of the Pine River,44.593197,-83.462946,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/MI1059?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/MI1058,http://selfie.cuahsi.org/MobileCrowdHydrology/MI1058,acastronova@cuahsi.org,South Branch at Cruzen Rd,44.574004,-83.462838,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/MI1058?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/MI1057,http://selfie.cuahsi.org/MobileCrowdHydrology/MI1057,acastronova@cuahsi.org,MI1057,44.590324,-83.448033,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/MI1057?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/MI1056,http://selfie.cuahsi.org/MobileCrowdHydrology/MI1056,acastronova@cuahsi.org,Van Etten Creek,44.55183,-83.401717,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/MI1056?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/MI1055,http://selfie.cuahsi.org/MobileCrowdHydrology/MI1055,acastronova@cuahsi.org,Pine River at Kings Corner Rd,44.511749,-83.406935,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/MI1055?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/WI2017,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2017,acastronova@cuahsi.org,Clear Lake,46.0961,-91.245094,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2017?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/WI2016,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2016,acastronova@cuahsi.org,Long Lake,45.456886,-92.52543,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2016?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/WI2015,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2015,acastronova@cuahsi.org,Horseshoe Lake,45.43332,-92.17927,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2015?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/WI2014,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2014,acastronova@cuahsi.org,Wheeler Lake,45.30947,-88.47362,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2014?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/WI2013,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2013,acastronova@cuahsi.org,Underwood Lake,45.045612,-88.24212,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2013?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/WI2012,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2012,acastronova@cuahsi.org,Paya Lake,45.27279,-88.48794,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2012?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/WI2011,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2011,acastronova@cuahsi.org,Grindle Lake,45.23316,-88.370834,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2011?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/WI2010,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2010,acastronova@cuahsi.org,Archibald Lake,45.28162,-88.59973,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2010?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/WI2009,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2009,acastronova@cuahsi.org,South Neva Lake,45.26814,-89.10267,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2009?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/WI2008,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2008,acastronova@cuahsi.org,Duck Lake,45.384106,-89.24992,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2008?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/WI2007,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2007,acastronova@cuahsi.org,Crystal Lake,45.381737,-88.92151,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2007?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/WI2006,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2006,acastronova@cuahsi.org,Big Twin Lake,45.354996,-88.91331,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2006?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/WI2005,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2005,acastronova@cuahsi.org,Two Island Lake,45.235775,-91.392746,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2005?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/WI2004,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2004,acastronova@cuahsi.org,Axhandle Lake,45.27761,-91.479385,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2004?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/WI2003,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2003,acastronova@cuahsi.org,Phantom Lake,46.493885,-91.29628,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2003?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/WI2002,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2002,acastronova@cuahsi.org,Bass Lake,46.444244,-91.264336,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2002?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/WI2001,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2001,acastronova@cuahsi.org,Loon Lake,46.350147,-90.6463,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/WI2001?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MobileCrowdHydrology/MI1031,http://selfie.cuahsi.org/MobileCrowdHydrology/MI1031,acastronova@cuahsi.org,Portage Lake Watershed Gage,44.360689,-86.192918,QueryString,f?=.*,http://selfie.cuahsi.org/MobileCrowdHydrology/MI1031?f=${C:f:1}
