id,target,creator,description,lat,lon,c1_type,c1_match,c1_value
https://geoconnex.us/cuahsi/his/MudLake/USU-ML-Causeway,http://selfie.cuahsi.org/MudLake/USU-ML-Causeway,acastronova@cuahsi.org,Mud Lake outflow to Bear Lake at the causeway.,42.12042,-111.29907,QueryString,f?=.*,http://selfie.cuahsi.org/MudLake/USU-ML-Causeway?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MudLake/USU-ML-Lifton,http://selfie.cuahsi.org/MudLake/USU-ML-Lifton,acastronova@cuahsi.org,Bear Lake outlet canal at Lifton,42.12281,-111.31534,QueryString,f?=.*,http://selfie.cuahsi.org/MudLake/USU-ML-Lifton?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MudLake/USU-ML-Weather,http://selfie.cuahsi.org/MudLake/USU-ML-Weather,acastronova@cuahsi.org,Mud Lake weather station at the USFWS shop near Paris  Idaho,42.20854,-111.3393,QueryString,f?=.*,http://selfie.cuahsi.org/MudLake/USU-ML-Weather?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MudLake/USU-ML-Inlet,http://selfie.cuahsi.org/MudLake/USU-ML-Inlet,acastronova@cuahsi.org,Mud Lake inlet canal at Stewart Dam,42.25035,-111.28843,QueryString,f?=.*,http://selfie.cuahsi.org/MudLake/USU-ML-Inlet?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MudLake/USU-ML-Outlet,http://selfie.cuahsi.org/MudLake/USU-ML-Outlet,acastronova@cuahsi.org,Bear Lake outlet canal near USFWS shop near Paris  Idaho,42.20996,-111.34053,QueryString,f?=.*,http://selfie.cuahsi.org/MudLake/USU-ML-Outlet?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MudLake/PAC-ML-Level,http://selfie.cuahsi.org/MudLake/PAC-ML-Level,acastronova@cuahsi.org,Mud Lake water level at Paris Dike,42.210007,-111.340007,QueryString,f?=.*,http://selfie.cuahsi.org/MudLake/PAC-ML-Level?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MudLake/PAC-ML-Rainbow,http://selfie.cuahsi.org/MudLake/PAC-ML-Rainbow,acastronova@cuahsi.org,Rainbow Inlet Canal Gage,42.221276,-111.295811,QueryString,f?=.*,http://selfie.cuahsi.org/MudLake/PAC-ML-Rainbow?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MudLake/PAC-ML-Outlet,http://selfie.cuahsi.org/MudLake/PAC-ML-Outlet,acastronova@cuahsi.org,Outlet Canal Gage,42.213419,-111.341694,QueryString,f?=.*,http://selfie.cuahsi.org/MudLake/PAC-ML-Outlet?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MudLake/PAC-ML-Lifton,http://selfie.cuahsi.org/MudLake/PAC-ML-Lifton,acastronova@cuahsi.org,Lifton Pumping Station,42.12253,-111.314698,QueryString,f?=.*,http://selfie.cuahsi.org/MudLake/PAC-ML-Lifton?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MudLake/PAC-ML-Causeway,http://selfie.cuahsi.org/MudLake/PAC-ML-Causeway,acastronova@cuahsi.org,Mud Lake Inflow to Bear Lake at Causeway,42.120345,-111.298881,QueryString,f?=.*,http://selfie.cuahsi.org/MudLake/PAC-ML-Causeway?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MudLake/PAC-ML-BlackOtter,http://selfie.cuahsi.org/MudLake/PAC-ML-BlackOtter,acastronova@cuahsi.org,Black Otter Canal Inflow to the Rainbow Canal,42.229892,-111.29536,QueryString,f?=.*,http://selfie.cuahsi.org/MudLake/PAC-ML-BlackOtter?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MudLake/PAC-ML-ReamCrockett,http://selfie.cuahsi.org/MudLake/PAC-ML-ReamCrockett,acastronova@cuahsi.org,Ream Crockett (formerly Dingle) Canal Inflow to the Rainbow Canal,42.209067,-111.295152,QueryString,f?=.*,http://selfie.cuahsi.org/MudLake/PAC-ML-ReamCrockett?f=${C:f:1}
