id,target,creator,description,lat,lon,c1_type,c1_match,c1_value
https://geoconnex.us/cuahsi/his/MuddyRiver/MuddyRiver_1,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_1,acastronova@cuahsi.org,Commonwealth Ave,42.349177,-71.091754,QueryString,f?=.*,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MuddyRiver/MuddyRiver_2,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_2,acastronova@cuahsi.org,Agassiz Road,42.343136,-71.094048,QueryString,f?=.*,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_2?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MuddyRiver/MuddyRiver_3,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_3,acastronova@cuahsi.org,Bridge Upstr. of Boston Gate Houses,42.341133,-71.094017,QueryString,f?=.*,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_3?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MuddyRiver/MuddyRiver_4,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_4,acastronova@cuahsi.org,Fens Bridge,42.3405,-71.099908,QueryString,f?=.*,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_4?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MuddyRiver/MuddyRiver_5,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_5,acastronova@cuahsi.org,Longwood Avenue Bridge,42.340374,-71.110708,QueryString,f?=.*,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_5?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MuddyRiver/MuddyRiver_6,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_6,acastronova@cuahsi.org,Outlet of Leverett Pond,42.330724,-71.113582,QueryString,f?=.*,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_6?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MuddyRiver/MuddyRiver_7,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_7,acastronova@cuahsi.org,Outlet of Willow Pond,42.325802,-71.11592,QueryString,f?=.*,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_7?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MuddyRiver/MuddyRiver_8,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_8,acastronova@cuahsi.org,Outlet of Wards Pond,42.322376,-71.117895,QueryString,f?=.*,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_8?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MuddyRiver/MuddyRiver_9,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_9,acastronova@cuahsi.org,Longwood Avenue Drain,42.337302,-71.111536,QueryString,f?=.*,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_9?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MuddyRiver/MuddyRiver_10,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_10,acastronova@cuahsi.org,Tannery Brook Drain,42.334172,-71.111668,QueryString,f?=.*,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_10?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MuddyRiver/MuddyRiver_11,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_11,acastronova@cuahsi.org,Pearl St. Drain,42.332494,-71.112989,QueryString,f?=.*,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_11?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MuddyRiver/MuddyRiver_13,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_13,acastronova@cuahsi.org,Daisy Field Drain,42.327121,-71.114834,QueryString,f?=.*,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_13?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MuddyRiver/MuddyRiver_14,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_14,acastronova@cuahsi.org,Roving Location,42.323944,-71.115036,QueryString,f?=.*,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_14?f=${C:f:1}
https://geoconnex.us/cuahsi/his/MuddyRiver/MuddyRiver_12,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_12,acastronova@cuahsi.org,Village Brook Drain,42.330008,-71.113962,QueryString,f?=.*,http://selfie.cuahsi.org/MuddyRiver/MuddyRiver_12?f=${C:f:1}
