id,target,creator,description,lat,lon,c1_type,c1_match,c1_value
https://geoconnex.us/cuahsi/his/Provo_River_GAMUT/PR_BD_C,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_BD_C,acastronova@cuahsi.org,Beaver Divide Climate,40.612508,-111.098289,QueryString,f?=.*,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_BD_C?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Provo_River_GAMUT/PR_BJ_AA,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_BJ_AA,acastronova@cuahsi.org,Provo River Below Jordanelle Reservoir Advanced Aquatic,40.59507,-111.42864,QueryString,f?=.*,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_BJ_AA?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Provo_River_GAMUT/PR_TL_C,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_TL_C,acastronova@cuahsi.org,Trial Lake Climate,40.678111,-110.948339,QueryString,f?=.*,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_TL_C?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Provo_River_GAMUT/PR_CH_CUWCD,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_CH_CUWCD,acastronova@cuahsi.org,Provo River at Charleston Central Utah Water Conservancy District Gage,40.48498,-111.46245,QueryString,f?=.*,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_CH_CUWCD?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Provo_River_GAMUT/PR_UM_CUWCD,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_UM_CUWCD,acastronova@cuahsi.org,Provo River at Upper Midway Central Utah Water Conservancy District Gage,40.554053,-111.433219,QueryString,f?=.*,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_UM_CUWCD?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Provo_River_GAMUT/PR_BJ_CUWCD,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_BJ_CUWCD,acastronova@cuahsi.org,Provo River Below Jordanelle Reservoir Central Utah Water Conservancy District Reservoir Release,40.596619,-111.423244,QueryString,f?=.*,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_BJ_CUWCD?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Provo_River_GAMUT/PR_CH_AA,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_CH_AA,acastronova@cuahsi.org,Provo River at Charleston Advanced Aquatic,40.48498,-111.46245,QueryString,f?=.*,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_CH_AA?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Provo_River_GAMUT/PR_LM_BA,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_LM_BA,acastronova@cuahsi.org,Provo River at Lower Midway,40.50707,-111.44991,QueryString,f?=.*,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_LM_BA?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Provo_River_GAMUT/PR_TC_CUWCD,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_TC_CUWCD,acastronova@cuahsi.org,Timpanogos Canal below Jordanelle Reservoir,40.596619,-111.4232,QueryString,f?=.*,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_TC_CUWCD?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Provo_River_GAMUT/PR_CH_C,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_CH_C,acastronova@cuahsi.org,Charleston Climate,40.484717,-111.462558,QueryString,f?=.*,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_CH_C?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Provo_River_GAMUT/PR_ST_C,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_ST_C,acastronova@cuahsi.org,Soapstone Climate,40.573928,-111.043503,QueryString,f?=.*,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_ST_C?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Provo_River_GAMUT/PR_ST_BA,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_ST_BA,acastronova@cuahsi.org,Provo River near Soapstone Basic Aquatic,40.579503,-111.047669,QueryString,f?=.*,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_ST_BA?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Provo_River_GAMUT/PR_KM_B,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_KM_B,acastronova@cuahsi.org,Kamas Base Station,40.642003,-111.284067,QueryString,f?=.*,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_KM_B?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Provo_River_GAMUT/PR_YL_R,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_YL_R,acastronova@cuahsi.org,Yellow Lake Repeater,40.466908,-111.103183,QueryString,f?=.*,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_YL_R?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Provo_River_GAMUT/PR_SageCreek_canal,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_SageCreek_canal,acastronova@cuahsi.org,Sage Creek Canal,40.488245,-111.440195,QueryString,f?=.*,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_SageCreek_canal?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Provo_River_GAMUT/PR_Flood_canal,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_Flood_canal,acastronova@cuahsi.org,Flood Canal,40.488245,-111.440195,QueryString,f?=.*,http://selfie.cuahsi.org/Provo%20River%20GAMUT/PR_Flood_canal?f=${C:f:1}
