id,target,creator,description,lat,lon,c1_type,c1_match,c1_value
https://geoconnex.us/cuahsi/his/Red_Butte_Creek_GAMUT/RB_KF_C,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_KF_C,acastronova@cuahsi.org,Knowlton Fork Climate,40.810122,-111.76695,QueryString,f?=.*,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_KF_C?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Red_Butte_Creek_GAMUT/RB_KF_R,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_KF_R,acastronova@cuahsi.org,Knowlton Fork Repeater,40.816219,-111.76695,QueryString,f?=.*,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_KF_R?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Red_Butte_Creek_GAMUT/RB_KF_BA,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_KF_BA,acastronova@cuahsi.org,Knowlton Fork Basic Aquatic,40.809522,-111.765472,QueryString,f?=.*,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_KF_BA?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Red_Butte_Creek_GAMUT/RB_KF_S,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_KF_S,acastronova@cuahsi.org,Knowlton Fork Sapflux,40.810086,-111.769412,QueryString,f?=.*,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_KF_S?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Red_Butte_Creek_GAMUT/RB_ARBR_C,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_ARBR_C,acastronova@cuahsi.org,Above Red Butte Reservoir Climate,40.780567,-111.807222,QueryString,f?=.*,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_ARBR_C?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Red_Butte_Creek_GAMUT/RB_ARBR_AA,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_ARBR_AA,acastronova@cuahsi.org,Above Red Butte Reservoir Advanced Aquatic,40.779602,-111.806669,QueryString,f?=.*,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_ARBR_AA?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Red_Butte_Creek_GAMUT/RB_RBG_BA,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_RBG_BA,acastronova@cuahsi.org,Red Butte Gate Basic Aquatic,40.774228,-111.817025,QueryString,f?=.*,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_RBG_BA?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Red_Butte_Creek_GAMUT/RB_CG_BA,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_CG_BA,acastronova@cuahsi.org,Cottams Grove Basic Aquatic,40.763958,-111.828286,QueryString,f?=.*,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_CG_BA?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Red_Butte_Creek_GAMUT/RB_GIRF_C,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_GIRF_C,acastronova@cuahsi.org,Green Infrastructure Climate,40.7608,-111.830474,QueryString,f?=.*,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_GIRF_C?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Red_Butte_Creek_GAMUT/RB_FD_AA,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_FD_AA,acastronova@cuahsi.org,Foothill Drive Advanced Aquatic,40.757225,-111.833722,QueryString,f?=.*,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_FD_AA?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Red_Butte_Creek_GAMUT/RB_ARBR_USGS,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_ARBR_USGS,acastronova@cuahsi.org,USGS Gage 10172200 above Red Butte Reservoir,40.78,-111.805278,QueryString,f?=.*,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_ARBR_USGS?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Red_Butte_Creek_GAMUT/RB_TM_C,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_TM_C,acastronova@cuahsi.org,Todds Meadow Climate,40.789054,-111.796416,QueryString,f?=.*,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_TM_C?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Red_Butte_Creek_GAMUT/RB_RBR_CUWCD,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_RBR_CUWCD,acastronova@cuahsi.org,Red Butte Reservoir,40.777126,-111.811086,QueryString,f?=.*,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_RBR_CUWCD?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Red_Butte_Creek_GAMUT/RB_CR_SD,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_CR_SD,acastronova@cuahsi.org,Connor Road Storm Drain,40.762522,-111.828439,QueryString,f?=.*,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_CR_SD?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Red_Butte_Creek_GAMUT/RB_GIRF_SD,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_GIRF_SD,acastronova@cuahsi.org,GIRF Storm Drain,40.760912,-111.829696,QueryString,f?=.*,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_GIRF_SD?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Red_Butte_Creek_GAMUT/RB_FortD_SD,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_FortD_SD,acastronova@cuahsi.org,Fort Douglas Storm Drain,40.759012,-111.831446,QueryString,f?=.*,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_FortD_SD?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Red_Butte_Creek_GAMUT/RB_Dent_SD,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_Dent_SD,acastronova@cuahsi.org,Dentistry Building Storm Drain,40.757989,-111.832084,QueryString,f?=.*,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_Dent_SD?f=${C:f:1}
https://geoconnex.us/cuahsi/his/Red_Butte_Creek_GAMUT/RB_900W_BA,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_900W_BA,acastronova@cuahsi.org,900 W (1300 South) Basic Aquatic,40.7416,-111.9176,QueryString,f?=.*,http://selfie.cuahsi.org/Red%20Butte%20Creek%20GAMUT/RB_900W_BA?f=${C:f:1}
