id,target,creator,description,lat,lon,c1_type,c1_match,c1_value
https://geoconnex.us/cuahsi/his/SKC_Milltown/1,http://selfie.cuahsi.org/SKC_Milltown/1,acastronova@cuahsi.org,Well 1,46.8673923,-113.8758513,QueryString,f?=.*,http://selfie.cuahsi.org/SKC_Milltown/1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/SKC_Milltown/2,http://selfie.cuahsi.org/SKC_Milltown/2,acastronova@cuahsi.org,Well 2,46.8731422,-113.8800931,QueryString,f?=.*,http://selfie.cuahsi.org/SKC_Milltown/2?f=${C:f:1}
https://geoconnex.us/cuahsi/his/SKC_Milltown/3,http://selfie.cuahsi.org/SKC_Milltown/3,acastronova@cuahsi.org,Well 3,46.8659761,-113.8680697,QueryString,f?=.*,http://selfie.cuahsi.org/SKC_Milltown/3?f=${C:f:1}
https://geoconnex.us/cuahsi/his/SKC_Milltown/4,http://selfie.cuahsi.org/SKC_Milltown/4,acastronova@cuahsi.org,Well 4,46.8665484,-113.8702706,QueryString,f?=.*,http://selfie.cuahsi.org/SKC_Milltown/4?f=${C:f:1}
https://geoconnex.us/cuahsi/his/SKC_Milltown/5,http://selfie.cuahsi.org/SKC_Milltown/5,acastronova@cuahsi.org,Well 5,46.8668618,-113.8704236,QueryString,f?=.*,http://selfie.cuahsi.org/SKC_Milltown/5?f=${C:f:1}
https://geoconnex.us/cuahsi/his/SKC_Milltown/6,http://selfie.cuahsi.org/SKC_Milltown/6,acastronova@cuahsi.org,Well 6,46.8671151,-113.8710667,QueryString,f?=.*,http://selfie.cuahsi.org/SKC_Milltown/6?f=${C:f:1}
https://geoconnex.us/cuahsi/his/SKC_Milltown/7,http://selfie.cuahsi.org/SKC_Milltown/7,acastronova@cuahsi.org,Well 7,46.8787131,-113.8787594,QueryString,f?=.*,http://selfie.cuahsi.org/SKC_Milltown/7?f=${C:f:1}
https://geoconnex.us/cuahsi/his/SKC_Milltown/8,http://selfie.cuahsi.org/SKC_Milltown/8,acastronova@cuahsi.org,Well 8,46.8594057,-113.8813497,QueryString,f?=.*,http://selfie.cuahsi.org/SKC_Milltown/8?f=${C:f:1}
https://geoconnex.us/cuahsi/his/SKC_Milltown/9,http://selfie.cuahsi.org/SKC_Milltown/9,acastronova@cuahsi.org,Well 9,46.8714073,-113.8832268,QueryString,f?=.*,http://selfie.cuahsi.org/SKC_Milltown/9?f=${C:f:1}
https://geoconnex.us/cuahsi/his/SKC_Milltown/10,http://selfie.cuahsi.org/SKC_Milltown/10,acastronova@cuahsi.org,Well 10,46.8714117,-113.8831069,QueryString,f?=.*,http://selfie.cuahsi.org/SKC_Milltown/10?f=${C:f:1}
https://geoconnex.us/cuahsi/his/SKC_Milltown/11,http://selfie.cuahsi.org/SKC_Milltown/11,acastronova@cuahsi.org,Well 11,46.8714804,-113.8831961,QueryString,f?=.*,http://selfie.cuahsi.org/SKC_Milltown/11?f=${C:f:1}
https://geoconnex.us/cuahsi/his/SKC_Milltown/12,http://selfie.cuahsi.org/SKC_Milltown/12,acastronova@cuahsi.org,Well 12,46.8686613,-113.8793607,QueryString,f?=.*,http://selfie.cuahsi.org/SKC_Milltown/12?f=${C:f:1}
https://geoconnex.us/cuahsi/his/SKC_Milltown/13,http://selfie.cuahsi.org/SKC_Milltown/13,acastronova@cuahsi.org,Well 13,46.8686273,-113.879314,QueryString,f?=.*,http://selfie.cuahsi.org/SKC_Milltown/13?f=${C:f:1}
https://geoconnex.us/cuahsi/his/SKC_Milltown/14,http://selfie.cuahsi.org/SKC_Milltown/14,acastronova@cuahsi.org,Well 14,46.8698855,-113.8789297,QueryString,f?=.*,http://selfie.cuahsi.org/SKC_Milltown/14?f=${C:f:1}
https://geoconnex.us/cuahsi/his/SKC_Milltown/15,http://selfie.cuahsi.org/SKC_Milltown/15,acastronova@cuahsi.org,Well 15,46.8698955,-113.8789547,QueryString,f?=.*,http://selfie.cuahsi.org/SKC_Milltown/15?f=${C:f:1}
