id,target,creator,description,lat,lon,c1_type,c1_match,c1_value
https://geoconnex.us/cuahsi/his/TRWA/AMES,http://selfie.cuahsi.org/TRWA/AMES,acastronova@cuahsi.org,117 CANTON STREET  EASTON  AMES POND,42.066667,-71.1,QueryString,f?=.*,http://selfie.cuahsi.org/TRWA/AMES?f=${C:f:1}
https://geoconnex.us/cuahsi/his/TRWA/ASO-02,http://selfie.cuahsi.org/TRWA/ASO-02,acastronova@cuahsi.org,MELBOURNE STREET  SMALL BRIDGE  ASSONET  ASSONET RIVER,41.819778,-71.027139,QueryString,f?=.*,http://selfie.cuahsi.org/TRWA/ASO-02?f=${C:f:1}
https://geoconnex.us/cuahsi/his/TRWA/ASO-03,http://selfie.cuahsi.org/TRWA/ASO-03,acastronova@cuahsi.org,RT. 79  ASSONET CENTER BRIDGE  ASSONET RIVER  MAIN ST,41.793827,-71.067604,QueryString,f?=.*,http://selfie.cuahsi.org/TRWA/ASO-03?f=${C:f:1}
https://geoconnex.us/cuahsi/his/TRWA/BED-01-TNT-03,http://selfie.cuahsi.org/TRWA/BED-01-TNT-03,acastronova@cuahsi.org,Taunton R.  Rt 18  Bedford St.  Bridgewater,41.93678,-70.965492,QueryString,f?=.*,http://selfie.cuahsi.org/TRWA/BED-01-TNT-03?f=${C:f:1}
https://geoconnex.us/cuahsi/his/TRWA/BER-T,http://selfie.cuahsi.org/TRWA/BER-T,acastronova@cuahsi.org,SOUTH OF BERKLEY BRIDGE  EAST OF TAUNTON RIVER  WHERE IT CROSSES BERKLEY STREET  CHUCKAMUCKSETT BROOK,41.832893,-71.106682,QueryString,f?=.*,http://selfie.cuahsi.org/TRWA/BER-T?f=${C:f:1}
https://geoconnex.us/cuahsi/his/TRWA/CASTLE,http://selfie.cuahsi.org/TRWA/CASTLE,acastronova@cuahsi.org,POND IN SHARON  AMES LONG POND,42.1,-71.133333,QueryString,f?=.*,http://selfie.cuahsi.org/TRWA/CASTLE?f=${C:f:1}
https://geoconnex.us/cuahsi/his/TRWA/CHE-01-TNT-04,http://selfie.cuahsi.org/TRWA/CHE-01-TNT-04,acastronova@cuahsi.org,Taunton R. Br  Cherry St.  Bridgewater ,41.978411,-70.91227,QueryString,f?=.*,http://selfie.cuahsi.org/TRWA/CHE-01-TNT-04?f=${C:f:1}
https://geoconnex.us/cuahsi/his/TRWA/COB-000,http://selfie.cuahsi.org/TRWA/COB-000,acastronova@cuahsi.org,WEST WATER ST.  COBB BROOK RIVER  0 miles from Taunton River,41.880682,-71.093514,QueryString,f?=.*,http://selfie.cuahsi.org/TRWA/COB-000?f=${C:f:1}
https://geoconnex.us/cuahsi/his/TRWA/COB-013,http://selfie.cuahsi.org/TRWA/COB-013,acastronova@cuahsi.org,GENERAL COBB ST.  COBB BROOK RIVER  1.3 miles from Taunton River,41.891948,-71.102273,QueryString,f?=.*,http://selfie.cuahsi.org/TRWA/COB-013?f=${C:f:1}
https://geoconnex.us/cuahsi/his/TRWA/COT-01,http://selfie.cuahsi.org/TRWA/COT-01,acastronova@cuahsi.org,MIDDLEBORO AVE/TAUNTON  COTLEY BROOK,41.866667,-71.016667,QueryString,f?=.*,http://selfie.cuahsi.org/TRWA/COT-01?f=${C:f:1}
https://geoconnex.us/cuahsi/his/TRWA/COT-004,http://selfie.cuahsi.org/TRWA/COT-004,acastronova@cuahsi.org,MIDDLEBORO AVE.  COTLEY RIVER RIVER  0.4 miles from Taunton River,41.882695,-71.048317,QueryString,f?=.*,http://selfie.cuahsi.org/TRWA/COT-004?f=${C:f:1}
