id,target,creator,description,lat,lon,c1_type,c1_match,c1_value
https://geoconnex.us/cuahsi/his/UMBCWQ/DR5,http://selfie.cuahsi.org/UMBCWQ/DR5,acastronova@cuahsi.org,Dead Run Near Catonsville  Maryland,39.295889,-76.744083,QueryString,f?=.*,http://selfie.cuahsi.org/UMBCWQ/DR5?f=${C:f:1}
https://geoconnex.us/cuahsi/his/UMBCWQ/DR5.015m,http://selfie.cuahsi.org/UMBCWQ/DR5.015m,acastronova@cuahsi.org,Dead Run Near Catonsville  Maryland  15 m upstream of DR5,39.295778,-76.744167,QueryString,f?=.*,http://selfie.cuahsi.org/UMBCWQ/DR5.015m?f=${C:f:1}
https://geoconnex.us/cuahsi/his/UMBCWQ/DR5.108m,http://selfie.cuahsi.org/UMBCWQ/DR5.108m,acastronova@cuahsi.org,Dead Run Near Catonsville  Maryland  108 m upstream of DR5,39.295078,-76.744347,QueryString,f?=.*,http://selfie.cuahsi.org/UMBCWQ/DR5.108m?f=${C:f:1}
https://geoconnex.us/cuahsi/his/UMBCWQ/DR5.190m,http://selfie.cuahsi.org/UMBCWQ/DR5.190m,acastronova@cuahsi.org,Dead Run Near Catonsville  Maryland  190 m upstream of DR5,39.294408,-76.744833,QueryString,f?=.*,http://selfie.cuahsi.org/UMBCWQ/DR5.190m?f=${C:f:1}
https://geoconnex.us/cuahsi/his/UMBCWQ/DR5.231m,http://selfie.cuahsi.org/UMBCWQ/DR5.231m,acastronova@cuahsi.org,Dead Run Near Catonsville  Maryland  231 m upstream of DR5,39.294139,-76.745042,QueryString,f?=.*,http://selfie.cuahsi.org/UMBCWQ/DR5.231m?f=${C:f:1}
https://geoconnex.us/cuahsi/his/UMBCWQ/DR5.382m,http://selfie.cuahsi.org/UMBCWQ/DR5.382m,acastronova@cuahsi.org,Dead Run Near Catonsville  Maryland  382 m upstream of DR5,39.292797,-76.745039,QueryString,f?=.*,http://selfie.cuahsi.org/UMBCWQ/DR5.382m?f=${C:f:1}
https://geoconnex.us/cuahsi/his/UMBCWQ/DR5.514m,http://selfie.cuahsi.org/UMBCWQ/DR5.514m,acastronova@cuahsi.org,Dead Run Near Catonsville  Maryland  514.5 m upstream of DR5,39.2918,-76.745681,QueryString,f?=.*,http://selfie.cuahsi.org/UMBCWQ/DR5.514m?f=${C:f:1}
https://geoconnex.us/cuahsi/his/UMBCWQ/DR5.582m,http://selfie.cuahsi.org/UMBCWQ/DR5.582m,acastronova@cuahsi.org,Dead Run Near Catonsville  Maryland  582 m upstream of DR5,39.291331,-76.745697,QueryString,f?=.*,http://selfie.cuahsi.org/UMBCWQ/DR5.582m?f=${C:f:1}
https://geoconnex.us/cuahsi/his/UMBCWQ/DR5.786m,http://selfie.cuahsi.org/UMBCWQ/DR5.786m,acastronova@cuahsi.org,Dead Run Near Catonsville  Maryland  786 m upstream of DR5,39.290244,-76.744428,QueryString,f?=.*,http://selfie.cuahsi.org/UMBCWQ/DR5.786m?f=${C:f:1}
https://geoconnex.us/cuahsi/his/UMBCWQ/DR5.893m,http://selfie.cuahsi.org/UMBCWQ/DR5.893m,acastronova@cuahsi.org,Dead Run Near Catonsville  Maryland  893 m upstream of DR5,39.290703,-76.743625,QueryString,f?=.*,http://selfie.cuahsi.org/UMBCWQ/DR5.893m?f=${C:f:1}
https://geoconnex.us/cuahsi/his/UMBCWQ/DR5.902m,http://selfie.cuahsi.org/UMBCWQ/DR5.902m,acastronova@cuahsi.org,Dead Run Near Catonsville  Maryland  902 m upstream of DR5,39.290489,-76.743542,QueryString,f?=.*,http://selfie.cuahsi.org/UMBCWQ/DR5.902m?f=${C:f:1}
https://geoconnex.us/cuahsi/his/UMBCWQ/DR2,http://selfie.cuahsi.org/UMBCWQ/DR2,acastronova@cuahsi.org,Dead Run Tributary Near Woodlawn  Maryland,39.318917,-76.750694,QueryString,f?=.*,http://selfie.cuahsi.org/UMBCWQ/DR2?f=${C:f:1}
https://geoconnex.us/cuahsi/his/UMBCWQ/DR3,http://selfie.cuahsi.org/UMBCWQ/DR3,acastronova@cuahsi.org,Dead Run Tributary at Woodlawn  Maryland,39.318056,-76.735778,QueryString,f?=.*,http://selfie.cuahsi.org/UMBCWQ/DR3?f=${C:f:1}
https://geoconnex.us/cuahsi/his/UMBCWQ/DR4,http://selfie.cuahsi.org/UMBCWQ/DR4,acastronova@cuahsi.org,Dead Run at Woodlawn  Maryland,39.31325,-76.732111,QueryString,f?=.*,http://selfie.cuahsi.org/UMBCWQ/DR4?f=${C:f:1}
https://geoconnex.us/cuahsi/his/UMBCWQ/DRKR,http://selfie.cuahsi.org/UMBCWQ/DRKR,acastronova@cuahsi.org,Dead Run at Franklintown  Maryland,39.311222,-76.716639,QueryString,f?=.*,http://selfie.cuahsi.org/UMBCWQ/DRKR?f=${C:f:1}
https://geoconnex.us/cuahsi/his/UMBCWQ/DR1,http://selfie.cuahsi.org/UMBCWQ/DR1,acastronova@cuahsi.org,Tributary to Dead Run Tributary at Woodlawn  Maryland,39.327,-76.745139,QueryString,f?=.*,http://selfie.cuahsi.org/UMBCWQ/DR1?f=${C:f:1}
