id,target,creator,description,lat,lon,c1_type,c1_match,c1_value
https://geoconnex.us/cuahsi/his/YosemiteHydroclimateNetwork/MC1,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/MC1,acastronova@cuahsi.org,Maclure Creek,37.7722,-119.2644,QueryString,f?=.*,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/MC1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/YosemiteHydroclimateNetwork/BC1,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/BC1,acastronova@cuahsi.org,Budd Creek upstream,37.873,-119.382,QueryString,f?=.*,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/BC1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/YosemiteHydroclimateNetwork/BC2,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/BC2,acastronova@cuahsi.org,Budd Creek downstream,37.874,-119.382,QueryString,f?=.*,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/BC2?f=${C:f:1}
https://geoconnex.us/cuahsi/his/YosemiteHydroclimateNetwork/DC1,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/DC1,acastronova@cuahsi.org,Delaney Creek,37.883357,-119.381056,QueryString,f?=.*,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/DC1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/YosemiteHydroclimateNetwork/LF1,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/LF1,acastronova@cuahsi.org,Lyell Fork below Maclure,37.77778,-119.26139,QueryString,f?=.*,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/LF1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/YosemiteHydroclimateNetwork/LF2,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/LF2,acastronova@cuahsi.org,Lyell Fork upstream Twin Bridges,37.86948,-119.3311,QueryString,f?=.*,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/LF2?f=${C:f:1}
https://geoconnex.us/cuahsi/his/YosemiteHydroclimateNetwork/LF3,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/LF3,acastronova@cuahsi.org,Lyell Fork downstream Twin Bridges,37.86948,-119.331,QueryString,f?=.*,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/LF3?f=${C:f:1}
https://geoconnex.us/cuahsi/his/YosemiteHydroclimateNetwork/DF1,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/DF1,acastronova@cuahsi.org,Dana Fork (Lodge) ,37.8763,-119.3325,QueryString,f?=.*,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/DF1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/YosemiteHydroclimateNetwork/TR1,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/TR1,acastronova@cuahsi.org,Tuolumne River,37.87629,-119.35475,QueryString,f?=.*,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/TR1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/YosemiteHydroclimateNetwork/T01,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/T01,acastronova@cuahsi.org,Budd Ck,37.873,-119.382,QueryString,f?=.*,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/T01?f=${C:f:1}
https://geoconnex.us/cuahsi/his/YosemiteHydroclimateNetwork/T02,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/T02,acastronova@cuahsi.org,Dana Fork,37.876,-119.333,QueryString,f?=.*,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/T02?f=${C:f:1}
https://geoconnex.us/cuahsi/his/YosemiteHydroclimateNetwork/TH03,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/TH03,acastronova@cuahsi.org,Lyell Fork (Blw Twin Br),37.869,-119.334,QueryString,f?=.*,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/TH03?f=${C:f:1}
https://geoconnex.us/cuahsi/his/YosemiteHydroclimateNetwork/TH04,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/TH04,acastronova@cuahsi.org,Rafferty Ck,37.867,-119.322,QueryString,f?=.*,http://selfie.cuahsi.org/YosemiteHydroclimateNetwork/TH04?f=${C:f:1}
