id,target,creator,description,lat,lon,c1_type,c1_match,c1_value
https://geoconnex.us/cuahsi/his/czo_catalina/HOBO_B2,http://selfie.cuahsi.org/czo_catalina/HOBO_B2,acastronova@cuahsi.org,HOBO U30 met station at B2 desert site,32.55995,-110.839233,QueryString,f?=.*,http://selfie.cuahsi.org/czo_catalina/HOBO_B2?f=${C:f:1}
https://geoconnex.us/cuahsi/his/czo_catalina/HOBO_OR,http://selfie.cuahsi.org/czo_catalina/HOBO_OR,acastronova@cuahsi.org,HOBO U30 met station at Oracle Ridge site,32.457017,-110.7522,QueryString,f?=.*,http://selfie.cuahsi.org/czo_catalina/HOBO_OR?f=${C:f:1}
https://geoconnex.us/cuahsi/his/czo_catalina/OR_Rain1,http://selfie.cuahsi.org/czo_catalina/OR_Rain1,acastronova@cuahsi.org,Oracle Ridge rain gage 1,32.449833,-110.74045,QueryString,f?=.*,http://selfie.cuahsi.org/czo_catalina/OR_Rain1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/czo_catalina/OR_Rain2,http://selfie.cuahsi.org/czo_catalina/OR_Rain2,acastronova@cuahsi.org,Oracle Ridge rain gage 2,32.45005,-110.7475,QueryString,f?=.*,http://selfie.cuahsi.org/czo_catalina/OR_Rain2?f=${C:f:1}
https://geoconnex.us/cuahsi/his/czo_catalina/OR_Rain3,http://selfie.cuahsi.org/czo_catalina/OR_Rain3,acastronova@cuahsi.org,Oracle Ridge rain gage 3,32.449058,-110.750806,QueryString,f?=.*,http://selfie.cuahsi.org/czo_catalina/OR_Rain3?f=${C:f:1}
https://geoconnex.us/cuahsi/his/czo_catalina/B2_Rain2,http://selfie.cuahsi.org/czo_catalina/B2_Rain2,acastronova@cuahsi.org,B2 desert site rain gage 2 (GR2),32.555368,-110.839557,QueryString,f?=.*,http://selfie.cuahsi.org/czo_catalina/B2_Rain2?f=${C:f:1}
https://geoconnex.us/cuahsi/his/czo_catalina/MG_ATM,http://selfie.cuahsi.org/czo_catalina/MG_ATM,acastronova@cuahsi.org,Marshall Gulch Pressure/Temperature,32.426162,-110.761244,QueryString,f?=.*,http://selfie.cuahsi.org/czo_catalina/MG_ATM?f=${C:f:1}
https://geoconnex.us/cuahsi/his/czo_catalina/B2_Rain1,http://selfie.cuahsi.org/czo_catalina/B2_Rain1,acastronova@cuahsi.org,B2 desert site rain gage 1 (GR1),32.556958,-110.840531,QueryString,f?=.*,http://selfie.cuahsi.org/czo_catalina/B2_Rain1?f=${C:f:1}
https://geoconnex.us/cuahsi/his/czo_catalina/MG_FermValley_Rain,http://selfie.cuahsi.org/czo_catalina/MG_FermValley_Rain,acastronova@cuahsi.org,Fern Valley Raingage,32.430896,-110.769788,QueryString,f?=.*,http://selfie.cuahsi.org/czo_catalina/MG_FermValley_Rain?f=${C:f:1}
https://geoconnex.us/cuahsi/his/czo_catalina/MG_Schist_Rain,http://selfie.cuahsi.org/czo_catalina/MG_Schist_Rain,acastronova@cuahsi.org,Schist Raingage,32.426167,-110.761088,QueryString,f?=.*,http://selfie.cuahsi.org/czo_catalina/MG_Schist_Rain?f=${C:f:1}
https://geoconnex.us/cuahsi/his/czo_catalina/MG_Outlet_Rain,http://selfie.cuahsi.org/czo_catalina/MG_Outlet_Rain,acastronova@cuahsi.org,Outlet Raingage,32.428081,-110.759152,QueryString,f?=.*,http://selfie.cuahsi.org/czo_catalina/MG_Outlet_Rain?f=${C:f:1}
https://geoconnex.us/cuahsi/his/czo_catalina/MG_DoubleRock_Rain,http://selfie.cuahsi.org/czo_catalina/MG_DoubleRock_Rain,acastronova@cuahsi.org,Double Rock Raingage,32.428286,-110.763945,QueryString,f?=.*,http://selfie.cuahsi.org/czo_catalina/MG_DoubleRock_Rain?f=${C:f:1}
https://geoconnex.us/cuahsi/his/czo_catalina/MG_BurntMeadow_Rain,http://selfie.cuahsi.org/czo_catalina/MG_BurntMeadow_Rain,acastronova@cuahsi.org,Burnt Meadow Raingage,32.4305,-110.765791,QueryString,f?=.*,http://selfie.cuahsi.org/czo_catalina/MG_BurntMeadow_Rain?f=${C:f:1}
https://geoconnex.us/cuahsi/his/czo_catalina/MG_Granite_Rain,http://selfie.cuahsi.org/czo_catalina/MG_Granite_Rain,acastronova@cuahsi.org,Granite Raingage,32.428284,-110.768891,QueryString,f?=.*,http://selfie.cuahsi.org/czo_catalina/MG_Granite_Rain?f=${C:f:1}
https://geoconnex.us/cuahsi/his/czo_catalina/OR_low_stream,http://selfie.cuahsi.org/czo_catalina/OR_low_stream,acastronova@cuahsi.org,Oracle Ridge Streamflow,32.449389,-110.739944,QueryString,f?=.*,http://selfie.cuahsi.org/czo_catalina/OR_low_stream?f=${C:f:1}
https://geoconnex.us/cuahsi/his/czo_catalina/MG_WEIR,http://selfie.cuahsi.org/czo_catalina/MG_WEIR,acastronova@cuahsi.org,Marshall Gulch Weir,32.427351,-110.757857,QueryString,f?=.*,http://selfie.cuahsi.org/czo_catalina/MG_WEIR?f=${C:f:1}
https://geoconnex.us/cuahsi/his/czo_catalina/MGG_Met,http://selfie.cuahsi.org/czo_catalina/MGG_Met,acastronova@cuahsi.org,Marshall Gulch; Granite,32.429018,-110.769798,QueryString,f?=.*,http://selfie.cuahsi.org/czo_catalina/MGG_Met?f=${C:f:1}
https://geoconnex.us/cuahsi/his/czo_catalina/MGG_Met_TRH,http://selfie.cuahsi.org/czo_catalina/MGG_Met_TRH,acastronova@cuahsi.org,Marshall Gulch; Granite Temp/RH,32.428882,-110.770008,QueryString,f?=.*,http://selfie.cuahsi.org/czo_catalina/MGG_Met_TRH?f=${C:f:1}
https://geoconnex.us/cuahsi/his/czo_catalina/MGG_Met_NR,http://selfie.cuahsi.org/czo_catalina/MGG_Met_NR,acastronova@cuahsi.org,Marshall Gulch; Granite NetRadiation,32.42905,-110.769931,QueryString,f?=.*,http://selfie.cuahsi.org/czo_catalina/MGG_Met_NR?f=${C:f:1}
https://geoconnex.us/cuahsi/his/czo_catalina/MGS_Met,http://selfie.cuahsi.org/czo_catalina/MGS_Met,acastronova@cuahsi.org,Marshall Gulch; Schist,32.426358,-110.761168,QueryString,f?=.*,http://selfie.cuahsi.org/czo_catalina/MGS_Met?f=${C:f:1}
