"id","target","creator","description","c1_type","c1_match","c1_value"
"https://geoconnex.us/ref/hu02/07","https://reference.geoconnex.us/collections/hu02/items/07","dblodgett@usgs.gov","two digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu02/items/07?f=${C:f:1}"
"https://geoconnex.us/ref/hu02/09","https://reference.geoconnex.us/collections/hu02/items/09","dblodgett@usgs.gov","two digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu02/items/09?f=${C:f:1}"
"https://geoconnex.us/ref/hu02/18","https://reference.geoconnex.us/collections/hu02/items/18","dblodgett@usgs.gov","two digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu02/items/18?f=${C:f:1}"
"https://geoconnex.us/ref/hu02/14","https://reference.geoconnex.us/collections/hu02/items/14","dblodgett@usgs.gov","two digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu02/items/14?f=${C:f:1}"
"https://geoconnex.us/ref/hu02/20","https://reference.geoconnex.us/collections/hu02/items/20","dblodgett@usgs.gov","two digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu02/items/20?f=${C:f:1}"
"https://geoconnex.us/ref/hu02/17","https://reference.geoconnex.us/collections/hu02/items/17","dblodgett@usgs.gov","two digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu02/items/17?f=${C:f:1}"
"https://geoconnex.us/ref/hu02/05","https://reference.geoconnex.us/collections/hu02/items/05","dblodgett@usgs.gov","two digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu02/items/05?f=${C:f:1}"
"https://geoconnex.us/ref/hu02/01","https://reference.geoconnex.us/collections/hu02/items/01","dblodgett@usgs.gov","two digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu02/items/01?f=${C:f:1}"
"https://geoconnex.us/ref/hu02/12","https://reference.geoconnex.us/collections/hu02/items/12","dblodgett@usgs.gov","two digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu02/items/12?f=${C:f:1}"
"https://geoconnex.us/ref/hu02/15","https://reference.geoconnex.us/collections/hu02/items/15","dblodgett@usgs.gov","two digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu02/items/15?f=${C:f:1}"
"https://geoconnex.us/ref/hu02/02","https://reference.geoconnex.us/collections/hu02/items/02","dblodgett@usgs.gov","two digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu02/items/02?f=${C:f:1}"
"https://geoconnex.us/ref/hu02/08","https://reference.geoconnex.us/collections/hu02/items/08","dblodgett@usgs.gov","two digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu02/items/08?f=${C:f:1}"
"https://geoconnex.us/ref/hu02/21","https://reference.geoconnex.us/collections/hu02/items/21","dblodgett@usgs.gov","two digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu02/items/21?f=${C:f:1}"
"https://geoconnex.us/ref/hu02/11","https://reference.geoconnex.us/collections/hu02/items/11","dblodgett@usgs.gov","two digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu02/items/11?f=${C:f:1}"
"https://geoconnex.us/ref/hu02/03","https://reference.geoconnex.us/collections/hu02/items/03","dblodgett@usgs.gov","two digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu02/items/03?f=${C:f:1}"
"https://geoconnex.us/ref/hu02/06","https://reference.geoconnex.us/collections/hu02/items/06","dblodgett@usgs.gov","two digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu02/items/06?f=${C:f:1}"
"https://geoconnex.us/ref/hu02/22","https://reference.geoconnex.us/collections/hu02/items/22","dblodgett@usgs.gov","two digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu02/items/22?f=${C:f:1}"
"https://geoconnex.us/ref/hu02/13","https://reference.geoconnex.us/collections/hu02/items/13","dblodgett@usgs.gov","two digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu02/items/13?f=${C:f:1}"
"https://geoconnex.us/ref/hu02/16","https://reference.geoconnex.us/collections/hu02/items/16","dblodgett@usgs.gov","two digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu02/items/16?f=${C:f:1}"
"https://geoconnex.us/ref/hu02/10","https://reference.geoconnex.us/collections/hu02/items/10","dblodgett@usgs.gov","two digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu02/items/10?f=${C:f:1}"
"https://geoconnex.us/ref/hu02/04","https://reference.geoconnex.us/collections/hu02/items/04","dblodgett@usgs.gov","two digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu02/items/04?f=${C:f:1}"
"https://geoconnex.us/ref/hu02/19","https://reference.geoconnex.us/collections/hu02/items/19","dblodgett@usgs.gov","two digit hydrologic units reference","QueryString","f=.*","https://reference.geoconnex.us/collections/hu02/items/19?f=${C:f:1}"
