"","x"
"1","070200090402"
"2","070200030503"
"3","070200030602"
"4","070200030701"
"5","070200030702"
"6","070200041102"
"7","070200090401"
"8","070200090403"
"9","070300040601"
"10","070300040602"
"11","070200010901"
"12","070200050503"
"13","070200050605"
"14","070200010405"
"15","070200050604"
"16","070300050401"
"17","070200070901"
"18","070200070903"
"19","070200071003"
"20","070300040804"
"21","070300050203"
"22","070300050707"
"23","070300050502"
"24","070300050705"
"25","070300050805"
"26","070300050808"
"27","070300051004"
"28","070300051005"
"29","070300051102"
"30","070300020404"
"31","070300010504"
"32","070300011004"
"33","070300030103"
"34","070300010904"
"35","070300020104"
"36","070200070501"
"37","070300030205"
"38","070300010105"
"39","070300010106"
"40","070300010107"
"41","070300020206"
"42","070300020302"
"43","070300020304"
"44","070300020307"
"45","070300010604"
"46","070200080203"
"47","070200080301"
"48","070200030204"
"49","070300030101"
"50","070300030201"
"51","070300020311"
"52","070300010101"
"53","070300010103"
"54","070300010104"
"55","070300020101"
"56","070400030605"
"57","070400050201"
"58","070400050202"
"59","070400080902"
"60","070200110505"
"61","070200110507"
"62","070400010206"
"63","070400020103"
"64","070400020201"
"65","070400010202"
"66","070400010203"
"67","070200040604"
"68","070200090906"
"69","070400020202"
"70","070400020203"
"71","070400020305"
"72","070400030604"
"73","070400020902"
"74","070200051001"
"75","070200051002"
"76","070200060602"
"77","070400040105"
"78","070400040302"
"79","070200090101"
"80","070200090102"
"81","070200090301"
"82","070200090201"
"83","070200090202"
"84","070200040801"
"85","070400030102"
"86","070400040305"
"87","070400040404"
"88","070400040508"
"89","070200050704"
"90","070200050705"
"91","070200060701"
"92","070400040511"
"93","070400080102"
"94","070400030101"
"95","070400030201"
"96","070400030401"
"97","070400030402"
"98","070400030403"
"99","070400030405"
"100","070200030305"
"101","070200080303"
"102","070200030502"
"103","070200030202"
"104","070200030301"
"105","070200030307"
"106","070200090404"
"107","070200011101"
"108","070200030102"
"109","070400050502"
"110","070400070104"
"111","070400050205"
"112","070400050301"
"113","070400060301"
"114","070400060303"
"115","070400060304"
"116","070400060402"
"117","070400060403"
"118","070400070201"
"119","070400070202"
"120","070400070402"
"121","070400070501"
"122","070400070602"
"123","070400070603"
"124","070400070605"
"125","070400071102"
"126","070200051102"
"127","070400070802"
"128","070400070901"
"129","070400070906"
"130","070400071101"
"131","070400071208"
"132","070400070606"
"133","070400070608"
"134","070400070801"
"135","070102060501"
"136","070200051103"
"137","070200060103"
"138","070300040109"
"139","070102050501"
"140","070102050502"
"141","070102050503"
"142","070102050601"
"143","070102050602"
"144","070102050604"
"145","070102050605"
"146","070101060405"
"147","070101060601"
"148","070102060304"
"149","070101060504"
"150","070102010202"
"151","070101080501"
"152","070101080601"
"153","070102010201"
"154","070101070103"
"155","070101060803"
"156","070101060806"
"157","070101070102"
"158","070101070304"
"159","070101070401"
"160","070102010504"
"161","070102010603"
"162","070101020204"
"163","070102010401"
"164","070101020305"
"165","070101020407"
"166","070101020408"
"167","070102020104"
"168","070102030202"
"169","070101070601"
"170","070102020202"
"171","070102020302"
"172","070102020501"
"173","070101020505"
"174","070101020604"
"175","070102030201"
"176","070102040203"
"177","070102040103"
"178","070102040104"
"179","070102040202"
"180","070102040204"
"181","070102040209"
"182","070102040303"
"183","070102040305"
"184","070102040403"
"185","070102030203"
"186","070102030204"
"187","070102030205"
"188","070102040401"
"189","070102040402"
"190","070101010502"
"191","070102030303"
"192","070102030304"
"193","070102040404"
"194","070102050101"
"195","070102050103"
"196","070102030403"
"197","070102030506"
"198","070101010202"
"199","070101010201"
"200","070101010508"
"201","070101040701"
"202","070101040404"
"203","070101040406"
"204","070101040505"
"205","070101040801"
"206","070101030207"
"207","070101030302"
"208","070101010701"
"209","070101010909"
"210","070101040902"
"211","070102050201"
"212","070102050202"
"213","070101040805"
"214","070101040903"
"215","070102050106"
"216","070101050101"
"217","070101030304"
"218","070101030406"
"219","070102050306"
"220","070102050401"
"221","070101050303"
"222","070101030702"
"223","070102050402"
"224","070102050403"
"225","070101030903"
"226","070102050405"
"227","070101050405"
"228","070101050501"
"229","070101060101"
"230","070101060201"
"231","070101050604"
"232","050702010201"
"233","050702010202"
"234","050500020603"
"235","050702010104"
"236","050702010207"
"237","050500020103"
"238","050500020104"
"239","050500020301"
"240","050500020402"
"241","050500020602"
"242","050702010103"
"243","050500020601"
"244","050500020604"
"245","050500020901"
"246","050500020903"
"247","050500021001"
"248","050902030301"
"249","050902030302"
"250","050902030304"
"251","070200041002"
"252","051202070301"
"253","030102040603"
"254","030102040604"
"255","070200091002"
"256","070200040802"
"257","070200040803"
"258","070200041003"
"259","070200041001"
"260","050902030501"
"261","050902030502"
"262","050902030503"
"263","070200080704"
"264","051202010101"
"265","051202010102"
"266","070200041203"
"267","070200030306"
"268","070200020501"
"269","070200080702"
"270","070200080705"
"271","070200080707"
"272","050902030802"
"273","050902030506"
"274","050902030507"
"275","051202010104"
"276","051202010106"
"277","051202010107"
"278","050800011101"
"279","050800011201"
"280","070200040201"
"281","051202080103"
"282","070200041201"
"283","070200050802"
"284","070200040302"
"285","070200110106"
"286","070200040202"
"287","070200030705"
"288","070200040101"
"289","070200040102"
"290","070200100502"
"291","070200110103"
"292","070200070102"
"293","070200070502"
"294","070200070702"
"295","070200070101"
"296","070200070201"
"297","070200070202"
"298","070200070301"
"299","050902030601"
"300","051201010601"
"301","051201010602"
"302","051201010801"
"303","050800020404"
"304","050800011403"
"305","070200050806"
"306","070200050803"
"307","070200050804"
"308","070200050805"
"309","070200050807"
"310","070200060101"
"311","070200060102"
"312","070200060302"
"313","070200011005"
"314","070200090501"
"315","070200080706"
"316","070200080801"
"317","070200080802"
"318","070200120201"
"319","070200041005"
"320","070200041007"
"321","070200120102"
"322","070200120202"
"323","070200120203"
"324","070200120301"
"325","070200120302"
"326","070200120303"
"327","051201130903"
"328","051201010901"
"329","051201010902"
"330","051201140402"
"331","051201130901"
"332","051201130902"
"333","051201130904"
"334","051402020705"
"335","051402040501"
"336","070200030703"
"337","070200080401"
"338","070200030704"
"339","070200050901"
"340","070200040804"
"341","070200051101"
"342","070200070404"
"343","051201010904"
"344","051201140905"
"345","051201141004"
"346","051202090301"
"347","051202090601"
"348","070200010104"
"349","070200070503"
"350","070200080202"
"351","070200040903"
"352","070200040902"
"353","070200010204"
"354","070200010301"
"355","070200060601"
"356","070200010106"
"357","070200120304"
"358","070200120305"
"359","070200010107"
"360","070200010203"
"361","040500011602"
"362","051201011003"
"363","040500011604"
"364","040500011701"
"365","040500011702"
"366","070200020101"
"367","051202090801"
"368","070200011103"
"369","070200080404"
"370","070200011203"
"371","070200120702"
"372","070200110105"
"373","070200110201"
"374","070200120609"
"375","070200050101"
"376","070200050501"
"377","041000030706"
"378","040500011703"
"379","040500011705"
"380","051401040704"
"381","051202090803"
"382","051401040701"
"383","051401040703"
"384","051402010404"
"385","051402010907"
"386","070200040502"
"387","070200040504"
"388","070200050902"
"389","070200090506"
"390","070200090603"
"391","041000040605"
"392","041000030805"
"393","051402020604"
"394","051402020105"
"395","051402020301"
"396","051402020303"
"397","051402020305"
"398","070200030501"
"399","070200091101"
"400","070200100103"
"401","070200100105"
"402","070200110502"
"403","070200070302"
"404","070200070407"
"405","050800030104"
"406","041000040606"
"407","050800030102"
"408","050800030103"
"409","051201130706"
"410","041000030806"
"411","041000040501"
"412","051201130302"
"413","051201130701"
"414","051201130709"
"415","051202070802"
"416","051201040102"
"417","070200050502"
"418","070200090702"
"419","070200020602"
"420","050800030105"
"421","050800030106"
"422","041000040503"
"423","041000040602"
"424","051202080101"
"425","070200100504"
"426","070200100605"
"427","050800030201"
"428","050800030202"
"429","051201040101"
"430","051201040202"
"431","050800020907"
"432","041000040403"
"433","041000040603"
"434","041000040402"
"435","070200060403"
"436","070200060702"
"437","070200110504"
"438","070200050903"
"439","070200041004"
"440","050800030402"
"441","041000040404"
"442","050800011001"
"443","050800011004"
"444","050800030810"
"445","030102040901"
"446","030102040705"
"447","030102040902"
"448","050800030407"
"449","070200060703"
"450","070200060704"
"451","070200050904"
"452","070200060502"
"453","070200060503"
"454","050800030403"
"455","050800030406"
"456","051201010502"
"457","051201030101"
"458","051202050101"
"459","051202050103"
"460","051202050104"
"461","051202050201"
"462","030102010903"
"463","030102040904"
"464","030102010403"
"465","030102010404"
"466","030102010904"
"467","030102011001"
"468","050800030503"
"469","070200060303"
"470","070200091001"
"471","070200040206"
"472","070200040501"
"473","070200110303"
"474","070200040601"
"475","070200030106"
"476","050800030501"
"477","050800030504"
"478","050800030505"
"479","050800030601"
"480","051201060105"
"481","051202050401"
"482","051202050402"
"483","051201060103"
"484","051201060205"
